target,lead,scenario,set,model,n,mae,mae_lo,mae_hi,rmse,mae_persistence,skill_vs_persistence,skill_lo,skill_hi,dm_stat,dm_p
alk,4,lab_known,ABCD,ridge,627,3.304154979601775,2.7467283191042817,3.9381034297555204,4.542550704375328,2.950637958532696,-0.11981036848210191,-0.29328338322955194,0.025799499604177472,1.5244446358848838,0.12790269341689284
alk,4,lab_known,ABCD,rf,627,3.1050061022819553,2.6935874150846337,3.582080962410727,4.187047789837682,2.950637958532696,-0.052316870425548334,-0.1411595963213382,0.03018906672185243,1.2098120075629042,0.22680769296974695
alk,4,lab_known,ABCD,hgb,627,2.943884063969382,2.576460135880926,3.372271824112589,4.0041083477322825,2.950637958532696,0.0022889607800858913,-0.07023798920781407,0.07846403235732614,-0.06079701955305746,0.9515402684009246
alk,4,lab_blind,BCD,ridge,627,5.9674038213056875,4.783486345820012,7.425977261863061,8.288516911264965,2.950637958532696,-1.0224113921021947,-1.6127904697944928,-0.5845518468611876,4.5196020842578095,7.409070301434697e-06
alk,4,lab_blind,BCD,rf,627,6.238435846164909,5.217072314904507,7.469555924492879,7.951607933602368,2.950637958532696,-1.1142667903815555,-1.6190324740413542,-0.7255328845162788,5.8682403338446125,7.141825824681862e-09
alk,4,lab_blind,BCD,hgb,627,5.175145917524101,4.428829778351053,6.083053742263894,6.568753649191674,2.950637958532696,-0.7539074567106894,-1.1002926127110768,-0.472252878212934,5.565846541185352,3.87210952020893e-08
alk,7,lab_known,ABCD,ridge,623,4.471860933944997,3.65994029949396,5.629154006491777,6.391182199030621,4.118298555377207,-0.08585156559525031,-0.3377664179876678,0.09053515695555407,0.8155972810562917,0.4150427073855348
alk,7,lab_known,ABCD,rf,623,4.773438239342612,4.067864677875358,5.575721389105286,6.173445784203827,4.118298555377207,-0.15908018205965146,-0.35570213462087963,0.0034821621968892835,1.8806537478070318,0.06048600674443811
alk,7,lab_known,ABCD,hgb,623,4.619396595759514,3.952916377348682,5.455046908028886,6.066016056790333,4.118298555377207,-0.12167598673195523,-0.3271783645502725,0.030870133274897217,1.4146188487406783,0.1576806685809065
alk,7,lab_blind,BCD,ridge,623,6.333843274524016,5.36430250161575,7.657337940155615,8.096160829274188,4.118298555377207,-0.5379757415241306,-0.969720896902107,-0.23056968512705137,3.421839807739308,0.0006627762515951007
alk,7,lab_blind,BCD,rf,623,6.09631013645868,5.2460254046311805,7.234804892214851,7.6520308148871266,4.118298555377207,-0.4802982480468323,-0.8442713179746044,-0.21800195988402352,3.6411316700990612,0.0002940375965172681
alk,7,lab_blind,BCD,hgb,623,5.359948027883175,4.4406008339260135,6.580072145830599,7.178563143959641,4.118298555377207,-0.30149574048845085,-0.6924321186993654,-0.02867681418307547,2.020314755744366,0.04377885943890305
